innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
2,Kolkata Knight Riders,4,2,FH Allen,PJ Cummins,AM Rahane,2,0,2,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,4,3,FH Allen,PJ Cummins,AM Rahane,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,4,4,FH Allen,PJ Cummins,AM Rahane,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,4,5,FH Allen,PJ Cummins,AM Rahane,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,4,6,FH Allen,PJ Cummins,AM Rahane,0,0,0,False,False,,0,0,0,0,0,True,caught,FH Allen,H Klaasen,powerplay
2,Kolkata Knight Riders,5,1,AM Rahane,Abhishek Sharma,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,5,2,A Raghuvanshi,Abhishek Sharma,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,5,3,A Raghuvanshi,Abhishek Sharma,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,5,4,A Raghuvanshi,Abhishek Sharma,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,5,5,A Raghuvanshi,Abhishek Sharma,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,5,6,AM Rahane,Abhishek Sharma,A Raghuvanshi,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,6,1,A Raghuvanshi,E Malinga,AM Rahane,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,6,2,A Raghuvanshi,E Malinga,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,6,3,A Raghuvanshi,E Malinga,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,6,4,AM Rahane,E Malinga,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,6,5,A Raghuvanshi,E Malinga,AM Rahane,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,6,6.wides,A Raghuvanshi,E Malinga,AM Rahane,0,1,1,False,False,wides,1,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,6,6,A Raghuvanshi,E Malinga,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
2,Kolkata Knight Riders,7,1,A Raghuvanshi,Shivang Kumar,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,7,2,AM Rahane,Shivang Kumar,A Raghuvanshi,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,7,3,AM Rahane,Shivang Kumar,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,7,4,A Raghuvanshi,Shivang Kumar,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,7,5,AM Rahane,Shivang Kumar,A Raghuvanshi,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,7,6,AM Rahane,Shivang Kumar,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,8,1,AM Rahane,HV Patel,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,8,2,A Raghuvanshi,HV Patel,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,8,3,AM Rahane,HV Patel,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,8,4,A Raghuvanshi,HV Patel,AM Rahane,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,8,5.wides,A Raghuvanshi,HV Patel,AM Rahane,0,1,1,False,False,wides,1,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,8,5,A Raghuvanshi,HV Patel,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,8,6,AM Rahane,HV Patel,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,9,1,AM Rahane,Shivang Kumar,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,9,2,A Raghuvanshi,Shivang Kumar,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,9,3,AM Rahane,Shivang Kumar,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,9,4,A Raghuvanshi,Shivang Kumar,AM Rahane,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,9,5,A Raghuvanshi,Shivang Kumar,AM Rahane,2,0,2,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,9,6,A Raghuvanshi,Shivang Kumar,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,10,1,A Raghuvanshi,Sakib Hussain,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,10,2,A Raghuvanshi,Sakib Hussain,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,10,3.wides,AM Rahane,Sakib Hussain,A Raghuvanshi,0,1,1,False,False,wides,1,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,10,3,AM Rahane,Sakib Hussain,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,10,4,A Raghuvanshi,Sakib Hussain,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,10,5,AM Rahane,Sakib Hussain,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,10,6,A Raghuvanshi,Sakib Hussain,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,11,1,A Raghuvanshi,PJ Cummins,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,11,2,AM Rahane,PJ Cummins,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,11,3,A Raghuvanshi,PJ Cummins,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,11,4,AM Rahane,PJ Cummins,A Raghuvanshi,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,11,5,A Raghuvanshi,PJ Cummins,AM Rahane,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
2,Kolkata Knight Riders,11,6,A Raghuvanshi,PJ Cummins,AM Rahane,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
